sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
2:Home,3566,1,1,2,0,89,0.0,11.819688432217434,5.558696034968512
2:Fib,3566,92,89,111,82,162,0.0,11.818748259999206,6.827606469405815
2:Random,3564,61,56,85,46,284,0.0,11.820385854009611,60523.891428137016
4:Home,3838,1,2,4,0,82,0.0,12.709198439662766,5.977111211281318
4:Fib,3837,220,193,368,106,509,0.0,12.70117643943356,7.337242902137716
4:Random,3835,75,68,116,46,179,0.0,12.705491024986912,65055.89324755228
8:Home,3990,2,2,6,0,32,0.0,13.21314558965732,6.213841846263892
8:Fib,3990,471,457,719,112,1123,0.0,13.197848651437871,7.624379231828977
8:Random,3982,123,104,228,46,356,0.0,13.194605520394976,67560.30536030848
12:Home,3726,2,2,6,0,42,0.0,12.258030556250082,5.764842835006777
12:Fib,3726,847,806,1307,119,1888,0.0,12.240834978695165,7.071650853671757
12:Random,3715,121,101,215,46,468,0.0,12.225823967880475,62599.85510565444
16:Home,3850,2,2,5,0,100,0.0,12.664848630387084,5.956777143484511
16:Fib,3849,1129,1079,1706,108,2802,0.0,12.64280224147785,7.302852175044836
16:Random,3836,124,110,207,47,590,0.0,12.620206147580085,64619.20981010472
24:Home,3788,3,2,6,0,921,0.0,12.382726945833742,5.8250639485469575
24:Fib,3788,1789,1741,2696,107,4123,0.0,12.340973138510156,7.128287437488801
24:Random,3765,136,121,236,46,488,0.0,12.3027556211993,62993.769652574796
32:Home,3800,4,2,7,0,163,0.0,12.33818310513106,5.803258335579098
32:Fib,3800,2424,2339,3716,178,5803,0.0,12.302074194456946,7.107685235244794
32:Random,3778,148,130,263,47,498,0.0,12.260819897707506,62779.045318311146
48:Home,3632,18,5,36,0,2225,0.0,11.71888864151881,5.509916448066803
48:Fib,3632,3786,3667,5464,111,7483,0.0,11.63449987987507,6.720038840394009
48:Random,3587,274,277,416,49,652,0.0,11.564849563456752,59215.4736177625
56:Home,3880,15,7,39,0,1956,0.0,12.436176452676824,5.847130133929287
56:Fib,3879,4141,3973,5748,178,7545,0.0,12.356139685856537,7.136241675174321
56:Random,3827,320,314,445,49,947,0.0,12.267519762022298,62813.35422375662
64:Home,3667,18,8,45,0,1656,0.0,11.677562965534152,5.496267317711236
64:Fib,3666,5066,4899,6781,109,7894,0.0,11.580669821393597,6.687374827048098
64:Random,3604,362,365,494,48,755,0.0,11.47189798796151,58739.53422321579
96:Home,3975,44,16,75,0,2854,0.0,12.421836181761932,5.846411173324459
96:Fib,3974,7069,6614,9860,179,11420,0.0,12.288681981650468,7.093088157532616
96:Random,3885,555,553,746,55,1139,0.0,12.127814995411097,62098.02447983165
128:Home,3790,58,29,112,0,2248,0.0,11.624982363153407,5.47225400528952
128:Fib,3788,10074,9327,13777,115,15354,0.0,11.489929628730891,6.6423104648826135
128:Random,3670,760,756,983,50,1861,0.0,11.239533758414337,57549.760513902416
256:Home,4243,8356,42,153,0,336819,0.0,12.032783166014408,5.664558231063184
256:Fib,4137,11718,10985,15935,107,17761,0.0,11.543290828427132,6.673326042335166
256:Random,3992,871,887,1111,47,1536,0.0,11.315705927706471,57939.78473117138
512:Home,5892,13672,54,29000,0,386736,0.1390020366598778,14.278409600364473,9.87139357395838
512:Fib,5717,14919,11093,28926,112,107595,0.12996326744796222,13.698072158674327,10.543876693540078
512:Random,5493,5571,917,28915,47,69043,0.12106317130893865,13.282039626081447,59778.04586784894
1024:Home,9978,17469,105,28379,0,411561,0.3817398276207657,19.176328822725623,20.471524236348543
1024:Fib,9699,18590,15012,28373,107,122628,0.36550159810289723,18.621519864682472,20.60377023859122
1024:Random,9279,12591,1066,28378,50,115360,0.36081474296799226,17.833976232896852,58380.47980997165
1280:Home,12569,18237,165,28388,0,411351,0.45293977245604267,22.11617811890195,25.966728089802874
1280:Fib,12201,19740,15876,28332,108,189314,0.43643963609540204,21.3129816863126,25.72825304209144
1280:Random,11741,14434,1145,28334,49,180350,0.4312239161911251,20.642463944695567,60135.13051024102
1536:Home,15725,18638,21484,28449,0,413722,0.5118600953895072,24.85659051355534,31.713333429328248
1536:Fib,15295,20537,16923,28448,107,250302,0.49663288656423665,23.99129129458859,31.300038023137986
1536:Random,14746,15933,9471,28448,47,246215,0.49125186491251865,22.481708646447462,58586.151909865155
2048:Home,20992,20672,28161,32529,0,394613,0.5622141768292683,28.32920828823674,38.05489844747383
2048:Fib,20373,22600,28147,32524,107,368586,0.5501398910322486,27.46690502865602,37.64132335773915
2048:Random,19642,18907,28140,32527,51,355953,0.5447510436819061,26.51185893455855,61828.61572240581
TOTAL,337759,10824,961,28370,0,413722,0.253461787842811,48.29459216500281,60746.28039225317
