ts=1404979375, bytes_sent=2965841, bytes_recv=2965841, packets_sent=35518, packets_recv=35518, errin=0, errout=0, dropin=0, dropout=0
ts=1404979380, bytes_sent=2966777, bytes_recv=2966777, packets_sent=35531, packets_recv=35531, errin=0, errout=0, dropin=0, dropout=0
ts=1404979385, bytes_sent=2966825, bytes_recv=2966825, packets_sent=35532, packets_recv=35532, errin=0, errout=0, dropin=0, dropout=0
ts=1404979390, bytes_sent=2967713, bytes_recv=2967713, packets_sent=35544, packets_recv=35544, errin=0, errout=0, dropin=0, dropout=0
ts=1404979395, bytes_sent=2968253, bytes_recv=2968253, packets_sent=35551, packets_recv=35551, errin=0, errout=0, dropin=0, dropout=0
ts=1404979400, bytes_sent=2969189, bytes_recv=2969189, packets_sent=35564, packets_recv=35564, errin=0, errout=0, dropin=0, dropout=0
ts=1404979405, bytes_sent=2969401, bytes_recv=2969401, packets_sent=35567, packets_recv=35567, errin=0, errout=0, dropin=0, dropout=0
ts=1404979410, bytes_sent=2970289, bytes_recv=2970289, packets_sent=35579, packets_recv=35579, errin=0, errout=0, dropin=0, dropout=0
ts=1404979415, bytes_sent=2970337, bytes_recv=2970337, packets_sent=35580, packets_recv=35580, errin=0, errout=0, dropin=0, dropout=0
ts=1404979420, bytes_sent=2971273, bytes_recv=2971273, packets_sent=35593, packets_recv=35593, errin=0, errout=0, dropin=0, dropout=0
ts=1404979425, bytes_sent=2971273, bytes_recv=2971273, packets_sent=35593, packets_recv=35593, errin=0, errout=0, dropin=0, dropout=0
ts=1404979430, bytes_sent=2972209, bytes_recv=2972209, packets_sent=35606, packets_recv=35606, errin=0, errout=0, dropin=0, dropout=0
ts=1404979435, bytes_sent=2972257, bytes_recv=2972257, packets_sent=35607, packets_recv=35607, errin=0, errout=0, dropin=0, dropout=0
ts=1404979440, bytes_sent=2973145, bytes_recv=2973145, packets_sent=35619, packets_recv=35619, errin=0, errout=0, dropin=0, dropout=0
ts=1404979445, bytes_sent=2973685, bytes_recv=2973685, packets_sent=35626, packets_recv=35626, errin=0, errout=0, dropin=0, dropout=0
ts=1404979450, bytes_sent=3294805, bytes_recv=3294805, packets_sent=38647, packets_recv=38647, errin=0, errout=0, dropin=0, dropout=0
ts=1404979455, bytes_sent=3295017, bytes_recv=3295017, packets_sent=38650, packets_recv=38650, errin=0, errout=0, dropin=0, dropout=0
ts=1404979460, bytes_sent=3295905, bytes_recv=3295905, packets_sent=38662, packets_recv=38662, errin=0, errout=0, dropin=0, dropout=0
ts=1404979465, bytes_sent=3295953, bytes_recv=3295953, packets_sent=38663, packets_recv=38663, errin=0, errout=0, dropin=0, dropout=0
ts=1404979470, bytes_sent=3296889, bytes_recv=3296889, packets_sent=38676, packets_recv=38676, errin=0, errout=0, dropin=0, dropout=0
ts=1404979475, bytes_sent=3296889, bytes_recv=3296889, packets_sent=38676, packets_recv=38676, errin=0, errout=0, dropin=0, dropout=0
ts=1404979480, bytes_sent=3297825, bytes_recv=3297825, packets_sent=38689, packets_recv=38689, errin=0, errout=0, dropin=0, dropout=0
ts=1404979485, bytes_sent=3297873, bytes_recv=3297873, packets_sent=38690, packets_recv=38690, errin=0, errout=0, dropin=0, dropout=0
ts=1404979490, bytes_sent=3298809, bytes_recv=3298809, packets_sent=38703, packets_recv=38703, errin=0, errout=0, dropin=0, dropout=0
ts=1404979495, bytes_sent=3299301, bytes_recv=3299301, packets_sent=38709, packets_recv=38709, errin=0, errout=0, dropin=0, dropout=0
ts=1404979500, bytes_sent=3300237, bytes_recv=3300237, packets_sent=38722, packets_recv=38722, errin=0, errout=0, dropin=0, dropout=0
ts=1404979505, bytes_sent=3300449, bytes_recv=3300449, packets_sent=38725, packets_recv=38725, errin=0, errout=0, dropin=0, dropout=0
ts=1404979510, bytes_sent=3332728, bytes_recv=3332728, packets_sent=38999, packets_recv=38999, errin=0, errout=0, dropin=0, dropout=0
ts=1404979515, bytes_sent=3332776, bytes_recv=3332776, packets_sent=39000, packets_recv=39000, errin=0, errout=0, dropin=0, dropout=0
ts=1404979520, bytes_sent=3333712, bytes_recv=3333712, packets_sent=39013, packets_recv=39013, errin=0, errout=0, dropin=0, dropout=0
ts=1404979525, bytes_sent=3333760, bytes_recv=3333760, packets_sent=39014, packets_recv=39014, errin=0, errout=0, dropin=0, dropout=0
ts=1404979530, bytes_sent=3334648, bytes_recv=3334648, packets_sent=39026, packets_recv=39026, errin=0, errout=0, dropin=0, dropout=0
ts=1404979535, bytes_sent=3334696, bytes_recv=3334696, packets_sent=39027, packets_recv=39027, errin=0, errout=0, dropin=0, dropout=0
ts=1404979540, bytes_sent=3335632, bytes_recv=3335632, packets_sent=39040, packets_recv=39040, errin=0, errout=0, dropin=0, dropout=0
ts=1404979545, bytes_sent=3336124, bytes_recv=3336124, packets_sent=39046, packets_recv=39046, errin=0, errout=0, dropin=0, dropout=0
ts=1404979550, bytes_sent=3337060, bytes_recv=3337060, packets_sent=39059, packets_recv=39059, errin=0, errout=0, dropin=0, dropout=0
