ts=1404980374, bytes_sent=3851857, bytes_recv=3851857, packets_sent=43937, packets_recv=43937, errin=0, errout=0, dropin=0, dropout=0
ts=1404980379, bytes_sent=3851905, bytes_recv=3851905, packets_sent=43938, packets_recv=43938, errin=0, errout=0, dropin=0, dropout=0
ts=1404980384, bytes_sent=3852841, bytes_recv=3852841, packets_sent=43951, packets_recv=43951, errin=0, errout=0, dropin=0, dropout=0
ts=1404980389, bytes_sent=3852889, bytes_recv=3852889, packets_sent=43952, packets_recv=43952, errin=0, errout=0, dropin=0, dropout=0
ts=1404980394, bytes_sent=3854105, bytes_recv=3854105, packets_sent=43968, packets_recv=43968, errin=0, errout=0, dropin=0, dropout=0
ts=1404980399, bytes_sent=3854317, bytes_recv=3854317, packets_sent=43971, packets_recv=43971, errin=0, errout=0, dropin=0, dropout=0
ts=1404980404, bytes_sent=3855253, bytes_recv=3855253, packets_sent=43984, packets_recv=43984, errin=0, errout=0, dropin=0, dropout=0
ts=1404980409, bytes_sent=3855417, bytes_recv=3855417, packets_sent=43986, packets_recv=43986, errin=0, errout=0, dropin=0, dropout=0
ts=1404980414, bytes_sent=3856353, bytes_recv=3856353, packets_sent=43999, packets_recv=43999, errin=0, errout=0, dropin=0, dropout=0
ts=1404980419, bytes_sent=3856401, bytes_recv=3856401, packets_sent=44000, packets_recv=44000, errin=0, errout=0, dropin=0, dropout=0
ts=1404980424, bytes_sent=5325874, bytes_recv=5325874, packets_sent=50445, packets_recv=50445, errin=0, errout=0, dropin=0, dropout=0
ts=1404980429, bytes_sent=5325922, bytes_recv=5325922, packets_sent=50446, packets_recv=50446, errin=0, errout=0, dropin=0, dropout=0
ts=1404980434, bytes_sent=5326858, bytes_recv=5326858, packets_sent=50459, packets_recv=50459, errin=0, errout=0, dropin=0, dropout=0
ts=1404980439, bytes_sent=5326906, bytes_recv=5326906, packets_sent=50460, packets_recv=50460, errin=0, errout=0, dropin=0, dropout=0
ts=1404980444, bytes_sent=5328122, bytes_recv=5328122, packets_sent=50476, packets_recv=50476, errin=0, errout=0, dropin=0, dropout=0
ts=1404980449, bytes_sent=5328334, bytes_recv=5328334, packets_sent=50479, packets_recv=50479, errin=0, errout=0, dropin=0, dropout=0
ts=1404980454, bytes_sent=5329270, bytes_recv=5329270, packets_sent=50492, packets_recv=50492, errin=0, errout=0, dropin=0, dropout=0
ts=1404980459, bytes_sent=5329434, bytes_recv=5329434, packets_sent=50494, packets_recv=50494, errin=0, errout=0, dropin=0, dropout=0
ts=1404980464, bytes_sent=5330370, bytes_recv=5330370, packets_sent=50507, packets_recv=50507, errin=0, errout=0, dropin=0, dropout=0
ts=1404980469, bytes_sent=5330418, bytes_recv=5330418, packets_sent=50508, packets_recv=50508, errin=0, errout=0, dropin=0, dropout=0
ts=1404980474, bytes_sent=5331354, bytes_recv=5331354, packets_sent=50521, packets_recv=50521, errin=0, errout=0, dropin=0, dropout=0
ts=1404980479, bytes_sent=5331354, bytes_recv=5331354, packets_sent=50521, packets_recv=50521, errin=0, errout=0, dropin=0, dropout=0
ts=1404980484, bytes_sent=5388961, bytes_recv=5388961, packets_sent=50936, packets_recv=50936, errin=0, errout=0, dropin=0, dropout=0
ts=1404980489, bytes_sent=5389009, bytes_recv=5389009, packets_sent=50937, packets_recv=50937, errin=0, errout=0, dropin=0, dropout=0
ts=1404980494, bytes_sent=5390225, bytes_recv=5390225, packets_sent=50953, packets_recv=50953, errin=0, errout=0, dropin=0, dropout=0
ts=1404980499, bytes_sent=5390437, bytes_recv=5390437, packets_sent=50956, packets_recv=50956, errin=0, errout=0, dropin=0, dropout=0
ts=1404980504, bytes_sent=5391373, bytes_recv=5391373, packets_sent=50969, packets_recv=50969, errin=0, errout=0, dropin=0, dropout=0
ts=1404980509, bytes_sent=5391537, bytes_recv=5391537, packets_sent=50971, packets_recv=50971, errin=0, errout=0, dropin=0, dropout=0
ts=1404980514, bytes_sent=5392473, bytes_recv=5392473, packets_sent=50984, packets_recv=50984, errin=0, errout=0, dropin=0, dropout=0
ts=1404980519, bytes_sent=5392521, bytes_recv=5392521, packets_sent=50985, packets_recv=50985, errin=0, errout=0, dropin=0, dropout=0
ts=1404980524, bytes_sent=5393457, bytes_recv=5393457, packets_sent=50998, packets_recv=50998, errin=0, errout=0, dropin=0, dropout=0
ts=1404980529, bytes_sent=5393457, bytes_recv=5393457, packets_sent=50998, packets_recv=50998, errin=0, errout=0, dropin=0, dropout=0
ts=1404980534, bytes_sent=5394393, bytes_recv=5394393, packets_sent=51011, packets_recv=51011, errin=0, errout=0, dropin=0, dropout=0
ts=1404980539, bytes_sent=5394441, bytes_recv=5394441, packets_sent=51012, packets_recv=51012, errin=0, errout=0, dropin=0, dropout=0
ts=1404980544, bytes_sent=5517480, bytes_recv=5517480, packets_sent=51828, packets_recv=51828, errin=0, errout=0, dropin=0, dropout=0
ts=1404980549, bytes_sent=5517692, bytes_recv=5517692, packets_sent=51831, packets_recv=51831, errin=0, errout=0, dropin=0, dropout=0
ts=1404980554, bytes_sent=5518628, bytes_recv=5518628, packets_sent=51844, packets_recv=51844, errin=0, errout=0, dropin=0, dropout=0
ts=1404980559, bytes_sent=5518840, bytes_recv=5518840, packets_sent=51847, packets_recv=51847, errin=0, errout=0, dropin=0, dropout=0
ts=1404980564, bytes_sent=5519728, bytes_recv=5519728, packets_sent=51859, packets_recv=51859, errin=0, errout=0, dropin=0, dropout=0
ts=1404980569, bytes_sent=5519776, bytes_recv=5519776, packets_sent=51860, packets_recv=51860, errin=0, errout=0, dropin=0, dropout=0
