ts=1404981111, bytes_sent=6487672, bytes_recv=6487672, packets_sent=60443, packets_recv=60443, errin=0, errout=0, dropin=0, dropout=0
ts=1404981116, bytes_sent=6488608, bytes_recv=6488608, packets_sent=60456, packets_recv=60456, errin=0, errout=0, dropin=0, dropout=0
ts=1404981121, bytes_sent=6488656, bytes_recv=6488656, packets_sent=60457, packets_recv=60457, errin=0, errout=0, dropin=0, dropout=0
ts=1404981126, bytes_sent=6489592, bytes_recv=6489592, packets_sent=60470, packets_recv=60470, errin=0, errout=0, dropin=0, dropout=0
ts=1404981131, bytes_sent=6489592, bytes_recv=6489592, packets_sent=60470, packets_recv=60470, errin=0, errout=0, dropin=0, dropout=0
ts=1404981136, bytes_sent=6490528, bytes_recv=6490528, packets_sent=60483, packets_recv=60483, errin=0, errout=0, dropin=0, dropout=0
ts=1404981141, bytes_sent=6490740, bytes_recv=6490740, packets_sent=60486, packets_recv=60486, errin=0, errout=0, dropin=0, dropout=0
ts=1404981146, bytes_sent=6491956, bytes_recv=6491956, packets_sent=60502, packets_recv=60502, errin=0, errout=0, dropin=0, dropout=0
ts=1404981151, bytes_sent=6492004, bytes_recv=6492004, packets_sent=60503, packets_recv=60503, errin=0, errout=0, dropin=0, dropout=0
ts=1404981156, bytes_sent=6493104, bytes_recv=6493104, packets_sent=60518, packets_recv=60518, errin=0, errout=0, dropin=0, dropout=0
ts=1404981161, bytes_sent=6493104, bytes_recv=6493104, packets_sent=60518, packets_recv=60518, errin=0, errout=0, dropin=0, dropout=0
ts=1404981166, bytes_sent=6494040, bytes_recv=6494040, packets_sent=60531, packets_recv=60531, errin=0, errout=0, dropin=0, dropout=0
ts=1404981171, bytes_sent=6494088, bytes_recv=6494088, packets_sent=60532, packets_recv=60532, errin=0, errout=0, dropin=0, dropout=0
ts=1404981176, bytes_sent=6495024, bytes_recv=6495024, packets_sent=60545, packets_recv=60545, errin=0, errout=0, dropin=0, dropout=0
ts=1404981181, bytes_sent=6495024, bytes_recv=6495024, packets_sent=60545, packets_recv=60545, errin=0, errout=0, dropin=0, dropout=0
ts=1404981186, bytes_sent=6497183, bytes_recv=6497183, packets_sent=60576, packets_recv=60576, errin=0, errout=0, dropin=0, dropout=0
ts=1404981191, bytes_sent=12282168, bytes_recv=12282168, packets_sent=74309, packets_recv=74309, errin=0, errout=0, dropin=0, dropout=0
ts=1404981196, bytes_sent=12283384, bytes_recv=12283384, packets_sent=74325, packets_recv=74325, errin=0, errout=0, dropin=0, dropout=0
ts=1404981201, bytes_sent=12283432, bytes_recv=12283432, packets_sent=74326, packets_recv=74326, errin=0, errout=0, dropin=0, dropout=0
ts=1404981206, bytes_sent=12284532, bytes_recv=12284532, packets_sent=74341, packets_recv=74341, errin=0, errout=0, dropin=0, dropout=0
ts=1404981211, bytes_sent=12284580, bytes_recv=12284580, packets_sent=74342, packets_recv=74342, errin=0, errout=0, dropin=0, dropout=0
ts=1404981216, bytes_sent=12285468, bytes_recv=12285468, packets_sent=74354, packets_recv=74354, errin=0, errout=0, dropin=0, dropout=0
ts=1404981221, bytes_sent=12285516, bytes_recv=12285516, packets_sent=74355, packets_recv=74355, errin=0, errout=0, dropin=0, dropout=0
ts=1404981226, bytes_sent=12286452, bytes_recv=12286452, packets_sent=74368, packets_recv=74368, errin=0, errout=0, dropin=0, dropout=0
ts=1404981231, bytes_sent=12287536, bytes_recv=12287536, packets_sent=74372, packets_recv=74372, errin=0, errout=0, dropin=0, dropout=0
ts=1404981236, bytes_sent=12288472, bytes_recv=12288472, packets_sent=74385, packets_recv=74385, errin=0, errout=0, dropin=0, dropout=0
ts=1404981241, bytes_sent=12288684, bytes_recv=12288684, packets_sent=74388, packets_recv=74388, errin=0, errout=0, dropin=0, dropout=0
ts=1404981246, bytes_sent=12289900, bytes_recv=12289900, packets_sent=74404, packets_recv=74404, errin=0, errout=0, dropin=0, dropout=0
