ts=1404984670, bytes_sent=110220882, bytes_recv=110220882, packets_sent=573305, packets_recv=573305, errin=0, errout=0, dropin=0, dropout=0
ts=1404984675, bytes_sent=110220882, bytes_recv=110220882, packets_sent=573305, packets_recv=573305, errin=0, errout=0, dropin=0, dropout=0
ts=1404984680, bytes_sent=110221770, bytes_recv=110221770, packets_sent=573317, packets_recv=573317, errin=0, errout=0, dropin=0, dropout=0
ts=1404984685, bytes_sent=110221770, bytes_recv=110221770, packets_sent=573317, packets_recv=573317, errin=0, errout=0, dropin=0, dropout=0
ts=1404984690, bytes_sent=110223158, bytes_recv=110223158, packets_sent=573333, packets_recv=573333, errin=0, errout=0, dropin=0, dropout=0
ts=1404984695, bytes_sent=110223486, bytes_recv=110223486, packets_sent=573337, packets_recv=573337, errin=0, errout=0, dropin=0, dropout=0
ts=1404984700, bytes_sent=110224538, bytes_recv=110224538, packets_sent=573351, packets_recv=573351, errin=0, errout=0, dropin=0, dropout=0
ts=1404984705, bytes_sent=110224702, bytes_recv=110224702, packets_sent=573353, packets_recv=573353, errin=0, errout=0, dropin=0, dropout=0
ts=1404984710, bytes_sent=110225590, bytes_recv=110225590, packets_sent=573365, packets_recv=573365, errin=0, errout=0, dropin=0, dropout=0
ts=1404984715, bytes_sent=110225590, bytes_recv=110225590, packets_sent=573365, packets_recv=573365, errin=0, errout=0, dropin=0, dropout=0
ts=1404984720, bytes_sent=110226478, bytes_recv=110226478, packets_sent=573377, packets_recv=573377, errin=0, errout=0, dropin=0, dropout=0
ts=1404984725, bytes_sent=110226478, bytes_recv=110226478, packets_sent=573377, packets_recv=573377, errin=0, errout=0, dropin=0, dropout=0
ts=1404984730, bytes_sent=110227366, bytes_recv=110227366, packets_sent=573389, packets_recv=573389, errin=0, errout=0, dropin=0, dropout=0
ts=1404984735, bytes_sent=110227366, bytes_recv=110227366, packets_sent=573389, packets_recv=573389, errin=0, errout=0, dropin=0, dropout=0
ts=1404984740, bytes_sent=110228254, bytes_recv=110228254, packets_sent=573401, packets_recv=573401, errin=0, errout=0, dropin=0, dropout=0
ts=1404984745, bytes_sent=110228582, bytes_recv=110228582, packets_sent=573405, packets_recv=573405, errin=0, errout=0, dropin=0, dropout=0
ts=1404984750, bytes_sent=110230254, bytes_recv=110230254, packets_sent=573421, packets_recv=573421, errin=0, errout=0, dropin=0, dropout=0
ts=1404984755, bytes_sent=110230418, bytes_recv=110230418, packets_sent=573423, packets_recv=573423, errin=0, errout=0, dropin=0, dropout=0
ts=1404984760, bytes_sent=110231306, bytes_recv=110231306, packets_sent=573435, packets_recv=573435, errin=0, errout=0, dropin=0, dropout=0
ts=1404984765, bytes_sent=110231306, bytes_recv=110231306, packets_sent=573435, packets_recv=573435, errin=0, errout=0, dropin=0, dropout=0
ts=1404984770, bytes_sent=110232194, bytes_recv=110232194, packets_sent=573447, packets_recv=573447, errin=0, errout=0, dropin=0, dropout=0
ts=1404984775, bytes_sent=110232194, bytes_recv=110232194, packets_sent=573447, packets_recv=573447, errin=0, errout=0, dropin=0, dropout=0
ts=1404984780, bytes_sent=110233082, bytes_recv=110233082, packets_sent=573459, packets_recv=573459, errin=0, errout=0, dropin=0, dropout=0
ts=1404984785, bytes_sent=110233082, bytes_recv=110233082, packets_sent=573459, packets_recv=573459, errin=0, errout=0, dropin=0, dropout=0
ts=1404984790, bytes_sent=110233970, bytes_recv=110233970, packets_sent=573471, packets_recv=573471, errin=0, errout=0, dropin=0, dropout=0
ts=1404984795, bytes_sent=110234298, bytes_recv=110234298, packets_sent=573475, packets_recv=573475, errin=0, errout=0, dropin=0, dropout=0
ts=1404984800, bytes_sent=110235350, bytes_recv=110235350, packets_sent=573489, packets_recv=573489, errin=0, errout=0, dropin=0, dropout=0
ts=1404984805, bytes_sent=110235514, bytes_recv=110235514, packets_sent=573491, packets_recv=573491, errin=0, errout=0, dropin=0, dropout=0
ts=1404984810, bytes_sent=114921843, bytes_recv=114921843, packets_sent=585183, packets_recv=585183, errin=0, errout=0, dropin=0, dropout=0
ts=1404984815, bytes_sent=147173848, bytes_recv=147173848, packets_sent=603741, packets_recv=603741, errin=0, errout=0, dropin=0, dropout=0
ts=1404984820, bytes_sent=147355292, bytes_recv=147355292, packets_sent=606836, packets_recv=606836, errin=0, errout=0, dropin=0, dropout=0
ts=1404984825, bytes_sent=147466773, bytes_recv=147466773, packets_sent=608610, packets_recv=608610, errin=0, errout=0, dropin=0, dropout=0
ts=1404984830, bytes_sent=147467237, bytes_recv=147467237, packets_sent=608612, packets_recv=608612, errin=0, errout=0, dropin=0, dropout=0
ts=1404984835, bytes_sent=147467237, bytes_recv=147467237, packets_sent=608612, packets_recv=608612, errin=0, errout=0, dropin=0, dropout=0
ts=1404984840, bytes_sent=147467237, bytes_recv=147467237, packets_sent=608612, packets_recv=608612, errin=0, errout=0, dropin=0, dropout=0
