ts=1404978224, bytes_sent=2586210, bytes_recv=2586210, packets_sent=31286, packets_recv=31286, errin=0, errout=0, dropin=0, dropout=0
ts=1404978229, bytes_sent=2587098, bytes_recv=2587098, packets_sent=31298, packets_recv=31298, errin=0, errout=0, dropin=0, dropout=0
ts=1404978234, bytes_sent=2587146, bytes_recv=2587146, packets_sent=31299, packets_recv=31299, errin=0, errout=0, dropin=0, dropout=0
ts=1404978239, bytes_sent=2588082, bytes_recv=2588082, packets_sent=31312, packets_recv=31312, errin=0, errout=0, dropin=0, dropout=0
ts=1404978244, bytes_sent=2588458, bytes_recv=2588458, packets_sent=31317, packets_recv=31317, errin=0, errout=0, dropin=0, dropout=0
ts=1404978249, bytes_sent=2589510, bytes_recv=2589510, packets_sent=31331, packets_recv=31331, errin=0, errout=0, dropin=0, dropout=0
ts=1404978254, bytes_sent=2589722, bytes_recv=2589722, packets_sent=31334, packets_recv=31334, errin=0, errout=0, dropin=0, dropout=0
ts=1404978259, bytes_sent=2590658, bytes_recv=2590658, packets_sent=31347, packets_recv=31347, errin=0, errout=0, dropin=0, dropout=0
ts=1404978264, bytes_sent=2590658, bytes_recv=2590658, packets_sent=31347, packets_recv=31347, errin=0, errout=0, dropin=0, dropout=0
ts=1404978269, bytes_sent=2591594, bytes_recv=2591594, packets_sent=31360, packets_recv=31360, errin=0, errout=0, dropin=0, dropout=0
ts=1404978274, bytes_sent=2591642, bytes_recv=2591642, packets_sent=31361, packets_recv=31361, errin=0, errout=0, dropin=0, dropout=0
ts=1404978279, bytes_sent=2592578, bytes_recv=2592578, packets_sent=31374, packets_recv=31374, errin=0, errout=0, dropin=0, dropout=0
ts=1404978284, bytes_sent=2592578, bytes_recv=2592578, packets_sent=31374, packets_recv=31374, errin=0, errout=0, dropin=0, dropout=0
ts=1404978289, bytes_sent=2593514, bytes_recv=2593514, packets_sent=31387, packets_recv=31387, errin=0, errout=0, dropin=0, dropout=0
ts=1404978294, bytes_sent=2593890, bytes_recv=2593890, packets_sent=31392, packets_recv=31392, errin=0, errout=0, dropin=0, dropout=0
ts=1404978299, bytes_sent=2596165, bytes_recv=2596165, packets_sent=31424, packets_recv=31424, errin=0, errout=0, dropin=0, dropout=0
ts=1404978304, bytes_sent=2705219, bytes_recv=2705219, packets_sent=32572, packets_recv=32572, errin=0, errout=0, dropin=0, dropout=0
ts=1404978309, bytes_sent=2706155, bytes_recv=2706155, packets_sent=32585, packets_recv=32585, errin=0, errout=0, dropin=0, dropout=0
ts=1404978314, bytes_sent=2706155, bytes_recv=2706155, packets_sent=32585, packets_recv=32585, errin=0, errout=0, dropin=0, dropout=0
ts=1404978319, bytes_sent=2707091, bytes_recv=2707091, packets_sent=32598, packets_recv=32598, errin=0, errout=0, dropin=0, dropout=0
ts=1404978324, bytes_sent=2707139, bytes_recv=2707139, packets_sent=32599, packets_recv=32599, errin=0, errout=0, dropin=0, dropout=0
ts=1404978329, bytes_sent=2708075, bytes_recv=2708075, packets_sent=32612, packets_recv=32612, errin=0, errout=0, dropin=0, dropout=0
ts=1404978334, bytes_sent=2708075, bytes_recv=2708075, packets_sent=32612, packets_recv=32612, errin=0, errout=0, dropin=0, dropout=0
ts=1404978339, bytes_sent=2709011, bytes_recv=2709011, packets_sent=32625, packets_recv=32625, errin=0, errout=0, dropin=0, dropout=0
ts=1404978344, bytes_sent=2709387, bytes_recv=2709387, packets_sent=32630, packets_recv=32630, errin=0, errout=0, dropin=0, dropout=0
ts=1404978349, bytes_sent=2710487, bytes_recv=2710487, packets_sent=32645, packets_recv=32645, errin=0, errout=0, dropin=0, dropout=0
ts=1404978354, bytes_sent=2710651, bytes_recv=2710651, packets_sent=32647, packets_recv=32647, errin=0, errout=0, dropin=0, dropout=0
ts=1404978359, bytes_sent=2711587, bytes_recv=2711587, packets_sent=32660, packets_recv=32660, errin=0, errout=0, dropin=0, dropout=0
ts=1404978364, bytes_sent=2723027, bytes_recv=2723027, packets_sent=32759, packets_recv=32759, errin=0, errout=0, dropin=0, dropout=0
ts=1404978369, bytes_sent=2723915, bytes_recv=2723915, packets_sent=32771, packets_recv=32771, errin=0, errout=0, dropin=0, dropout=0
ts=1404978374, bytes_sent=2723963, bytes_recv=2723963, packets_sent=32772, packets_recv=32772, errin=0, errout=0, dropin=0, dropout=0
ts=1404978380, bytes_sent=2724899, bytes_recv=2724899, packets_sent=32785, packets_recv=32785, errin=0, errout=0, dropin=0, dropout=0
