ts=1404987217, bytes_sent=183386091, bytes_recv=183386091, packets_sent=699086, packets_recv=699086, errin=0, errout=0, dropin=0, dropout=0
ts=1404987222, bytes_sent=183681808, bytes_recv=183681808, packets_sent=704062, packets_recv=704062, errin=0, errout=0, dropin=0, dropout=0
ts=1404987227, bytes_sent=183786632, bytes_recv=183786632, packets_sent=705840, packets_recv=705840, errin=0, errout=0, dropin=0, dropout=0
ts=1404987232, bytes_sent=183829486, bytes_recv=183829486, packets_sent=706571, packets_recv=706571, errin=0, errout=0, dropin=0, dropout=0
ts=1404987237, bytes_sent=183829486, bytes_recv=183829486, packets_sent=706571, packets_recv=706571, errin=0, errout=0, dropin=0, dropout=0
ts=1404987242, bytes_sent=183893880, bytes_recv=183893880, packets_sent=707626, packets_recv=707626, errin=0, errout=0, dropin=0, dropout=0
ts=1404987247, bytes_sent=183894308, bytes_recv=183894308, packets_sent=707630, packets_recv=707630, errin=0, errout=0, dropin=0, dropout=0
ts=1404987252, bytes_sent=183988862, bytes_recv=183988862, packets_sent=709248, packets_recv=709248, errin=0, errout=0, dropin=0, dropout=0
ts=1404987257, bytes_sent=184241972, bytes_recv=184241972, packets_sent=713564, packets_recv=713564, errin=0, errout=0, dropin=0, dropout=0
ts=1404987262, bytes_sent=184406396, bytes_recv=184406396, packets_sent=716368, packets_recv=716368, errin=0, errout=0, dropin=0, dropout=0
ts=1404987267, bytes_sent=184406396, bytes_recv=184406396, packets_sent=716368, packets_recv=716368, errin=0, errout=0, dropin=0, dropout=0
ts=1404987272, bytes_sent=184477320, bytes_recv=184477320, packets_sent=717553, packets_recv=717553, errin=0, errout=0, dropin=0, dropout=0
ts=1404987277, bytes_sent=184982216, bytes_recv=184982216, packets_sent=721897, packets_recv=721897, errin=0, errout=0, dropin=0, dropout=0
ts=1404987282, bytes_sent=185055657, bytes_recv=185055657, packets_sent=723070, packets_recv=723070, errin=0, errout=0, dropin=0, dropout=0
ts=1404987287, bytes_sent=185059455, bytes_recv=185059455, packets_sent=723100, packets_recv=723100, errin=0, errout=0, dropin=0, dropout=0
ts=1404987292, bytes_sent=185099551, bytes_recv=185099551, packets_sent=723783, packets_recv=723783, errin=0, errout=0, dropin=0, dropout=0
ts=1404987297, bytes_sent=185131227, bytes_recv=185131227, packets_sent=724320, packets_recv=724320, errin=0, errout=0, dropin=0, dropout=0
ts=1404987302, bytes_sent=185221373, bytes_recv=185221373, packets_sent=725721, packets_recv=725721, errin=0, errout=0, dropin=0, dropout=0
ts=1404987307, bytes_sent=185301837, bytes_recv=185301837, packets_sent=727091, packets_recv=727091, errin=0, errout=0, dropin=0, dropout=0
ts=1404987312, bytes_sent=185354101, bytes_recv=185354101, packets_sent=727982, packets_recv=727982, errin=0, errout=0, dropin=0, dropout=0
ts=1404987317, bytes_sent=185354629, bytes_recv=185354629, packets_sent=727991, packets_recv=727991, errin=0, errout=0, dropin=0, dropout=0
ts=1404987322, bytes_sent=185396957, bytes_recv=185396957, packets_sent=728713, packets_recv=728713, errin=0, errout=0, dropin=0, dropout=0
ts=1404987327, bytes_sent=185548871, bytes_recv=185548871, packets_sent=731318, packets_recv=731318, errin=0, errout=0, dropin=0, dropout=0
ts=1404987332, bytes_sent=185708917, bytes_recv=185708917, packets_sent=734054, packets_recv=734054, errin=0, errout=0, dropin=0, dropout=0
ts=1404987337, bytes_sent=186007325, bytes_recv=186007325, packets_sent=737776, packets_recv=737776, errin=0, errout=0, dropin=0, dropout=0
ts=1404987342, bytes_sent=186188746, bytes_recv=186188746, packets_sent=740794, packets_recv=740794, errin=0, errout=0, dropin=0, dropout=0
ts=1404987347, bytes_sent=186616489, bytes_recv=186616489, packets_sent=743647, packets_recv=743647, errin=0, errout=0, dropin=0, dropout=0
ts=1404987352, bytes_sent=186779395, bytes_recv=186779395, packets_sent=746438, packets_recv=746438, errin=0, errout=0, dropin=0, dropout=0
ts=1404987357, bytes_sent=186941271, bytes_recv=186941271, packets_sent=749216, packets_recv=749216, errin=0, errout=0, dropin=0, dropout=0
ts=1404987362, bytes_sent=187368284, bytes_recv=187368284, packets_sent=752017, packets_recv=752017, errin=0, errout=0, dropin=0, dropout=0
ts=1404987367, bytes_sent=187522834, bytes_recv=187522834, packets_sent=754670, packets_recv=754670, errin=0, errout=0, dropin=0, dropout=0
ts=1404987372, bytes_sent=187680850, bytes_recv=187680850, packets_sent=757382, packets_recv=757382, errin=0, errout=0, dropin=0, dropout=0
ts=1404987377, bytes_sent=187833056, bytes_recv=187833056, packets_sent=759992, packets_recv=759992, errin=0, errout=0, dropin=0, dropout=0
ts=1404987382, bytes_sent=187967580, bytes_recv=187967580, packets_sent=762296, packets_recv=762296, errin=0, errout=0, dropin=0, dropout=0
ts=1404987387, bytes_sent=188123932, bytes_recv=188123932, packets_sent=764975, packets_recv=764975, errin=0, errout=0, dropin=0, dropout=0
ts=1404987392, bytes_sent=188287434, bytes_recv=188287434, packets_sent=767742, packets_recv=767742, errin=0, errout=0, dropin=0, dropout=0
