ts=1404982239, bytes_sent=37063194, bytes_recv=37063194, packets_sent=115881, packets_recv=115881, errin=0, errout=0, dropin=0, dropout=0
ts=1404982244, bytes_sent=37064410, bytes_recv=37064410, packets_sent=115897, packets_recv=115897, errin=0, errout=0, dropin=0, dropout=0
ts=1404982249, bytes_sent=37064622, bytes_recv=37064622, packets_sent=115900, packets_recv=115900, errin=0, errout=0, dropin=0, dropout=0
ts=1404982254, bytes_sent=37065722, bytes_recv=37065722, packets_sent=115915, packets_recv=115915, errin=0, errout=0, dropin=0, dropout=0
ts=1404982259, bytes_sent=37065770, bytes_recv=37065770, packets_sent=115916, packets_recv=115916, errin=0, errout=0, dropin=0, dropout=0
ts=1404982264, bytes_sent=37066658, bytes_recv=37066658, packets_sent=115928, packets_recv=115928, errin=0, errout=0, dropin=0, dropout=0
ts=1404982269, bytes_sent=37066706, bytes_recv=37066706, packets_sent=115929, packets_recv=115929, errin=0, errout=0, dropin=0, dropout=0
ts=1404982274, bytes_sent=37147532, bytes_recv=37147532, packets_sent=116542, packets_recv=116542, errin=0, errout=0, dropin=0, dropout=0
ts=1404982279, bytes_sent=37252949, bytes_recv=37252949, packets_sent=117392, packets_recv=117392, errin=0, errout=0, dropin=0, dropout=0
ts=1404982284, bytes_sent=37253885, bytes_recv=37253885, packets_sent=117405, packets_recv=117405, errin=0, errout=0, dropin=0, dropout=0
ts=1404982289, bytes_sent=37253933, bytes_recv=37253933, packets_sent=117406, packets_recv=117406, errin=0, errout=0, dropin=0, dropout=0
ts=1404982294, bytes_sent=37255197, bytes_recv=37255197, packets_sent=117423, packets_recv=117423, errin=0, errout=0, dropin=0, dropout=0
ts=1404982299, bytes_sent=37255361, bytes_recv=37255361, packets_sent=117425, packets_recv=117425, errin=0, errout=0, dropin=0, dropout=0
ts=1404982304, bytes_sent=37256461, bytes_recv=37256461, packets_sent=117440, packets_recv=117440, errin=0, errout=0, dropin=0, dropout=0
ts=1404982309, bytes_sent=37256509, bytes_recv=37256509, packets_sent=117441, packets_recv=117441, errin=0, errout=0, dropin=0, dropout=0
ts=1404982314, bytes_sent=37257397, bytes_recv=37257397, packets_sent=117453, packets_recv=117453, errin=0, errout=0, dropin=0, dropout=0
ts=1404982319, bytes_sent=37257445, bytes_recv=37257445, packets_sent=117454, packets_recv=117454, errin=0, errout=0, dropin=0, dropout=0
