ts=1404976489, bytes_sent=2320632, bytes_recv=2320632, packets_sent=27849, packets_recv=27849, errin=0, errout=0, dropin=0, dropout=0
ts=1404976494, bytes_sent=2320960, bytes_recv=2320960, packets_sent=27853, packets_recv=27853, errin=0, errout=0, dropin=0, dropout=0
ts=1404976499, bytes_sent=2322060, bytes_recv=2322060, packets_sent=27868, packets_recv=27868, errin=0, errout=0, dropin=0, dropout=0
ts=1404976504, bytes_sent=2322272, bytes_recv=2322272, packets_sent=27871, packets_recv=27871, errin=0, errout=0, dropin=0, dropout=0
ts=1404976509, bytes_sent=2323208, bytes_recv=2323208, packets_sent=27884, packets_recv=27884, errin=0, errout=0, dropin=0, dropout=0
ts=1404976514, bytes_sent=2323208, bytes_recv=2323208, packets_sent=27884, packets_recv=27884, errin=0, errout=0, dropin=0, dropout=0
ts=1404976519, bytes_sent=2324144, bytes_recv=2324144, packets_sent=27897, packets_recv=27897, errin=0, errout=0, dropin=0, dropout=0
ts=1404976524, bytes_sent=2348801, bytes_recv=2348801, packets_sent=28188, packets_recv=28188, errin=0, errout=0, dropin=0, dropout=0
ts=1404976529, bytes_sent=2349689, bytes_recv=2349689, packets_sent=28200, packets_recv=28200, errin=0, errout=0, dropin=0, dropout=0
ts=1404976534, bytes_sent=2349737, bytes_recv=2349737, packets_sent=28201, packets_recv=28201, errin=0, errout=0, dropin=0, dropout=0
ts=1404976539, bytes_sent=2350673, bytes_recv=2350673, packets_sent=28214, packets_recv=28214, errin=0, errout=0, dropin=0, dropout=0
ts=1404976544, bytes_sent=2351049, bytes_recv=2351049, packets_sent=28219, packets_recv=28219, errin=0, errout=0, dropin=0, dropout=0
ts=1404976549, bytes_sent=2352101, bytes_recv=2352101, packets_sent=28233, packets_recv=28233, errin=0, errout=0, dropin=0, dropout=0
ts=1404976554, bytes_sent=2352149, bytes_recv=2352149, packets_sent=28234, packets_recv=28234, errin=0, errout=0, dropin=0, dropout=0
ts=1404976559, bytes_sent=2353249, bytes_recv=2353249, packets_sent=28249, packets_recv=28249, errin=0, errout=0, dropin=0, dropout=0
ts=1404976564, bytes_sent=2353249, bytes_recv=2353249, packets_sent=28249, packets_recv=28249, errin=0, errout=0, dropin=0, dropout=0
ts=1404976569, bytes_sent=2354185, bytes_recv=2354185, packets_sent=28262, packets_recv=28262, errin=0, errout=0, dropin=0, dropout=0
ts=1404976574, bytes_sent=2354233, bytes_recv=2354233, packets_sent=28263, packets_recv=28263, errin=0, errout=0, dropin=0, dropout=0
ts=1404976579, bytes_sent=2355121, bytes_recv=2355121, packets_sent=28275, packets_recv=28275, errin=0, errout=0, dropin=0, dropout=0
ts=1404976584, bytes_sent=2357146, bytes_recv=2357146, packets_sent=28296, packets_recv=28296, errin=0, errout=0, dropin=0, dropout=0
ts=1404976589, bytes_sent=2358082, bytes_recv=2358082, packets_sent=28309, packets_recv=28309, errin=0, errout=0, dropin=0, dropout=0
ts=1404976594, bytes_sent=2358458, bytes_recv=2358458, packets_sent=28314, packets_recv=28314, errin=0, errout=0, dropin=0, dropout=0
ts=1404976599, bytes_sent=2359510, bytes_recv=2359510, packets_sent=28328, packets_recv=28328, errin=0, errout=0, dropin=0, dropout=0
ts=1404976604, bytes_sent=2359558, bytes_recv=2359558, packets_sent=28329, packets_recv=28329, errin=0, errout=0, dropin=0, dropout=0
ts=1404976609, bytes_sent=2360658, bytes_recv=2360658, packets_sent=28344, packets_recv=28344, errin=0, errout=0, dropin=0, dropout=0
ts=1404976614, bytes_sent=2360658, bytes_recv=2360658, packets_sent=28344, packets_recv=28344, errin=0, errout=0, dropin=0, dropout=0
ts=1404976619, bytes_sent=2361594, bytes_recv=2361594, packets_sent=28357, packets_recv=28357, errin=0, errout=0, dropin=0, dropout=0
ts=1404976624, bytes_sent=2361642, bytes_recv=2361642, packets_sent=28358, packets_recv=28358, errin=0, errout=0, dropin=0, dropout=0
ts=1404976629, bytes_sent=2362578, bytes_recv=2362578, packets_sent=28371, packets_recv=28371, errin=0, errout=0, dropin=0, dropout=0
ts=1404976634, bytes_sent=2362578, bytes_recv=2362578, packets_sent=28371, packets_recv=28371, errin=0, errout=0, dropin=0, dropout=0
ts=1404976639, bytes_sent=2363514, bytes_recv=2363514, packets_sent=28384, packets_recv=28384, errin=0, errout=0, dropin=0, dropout=0
ts=1404976644, bytes_sent=2367451, bytes_recv=2367451, packets_sent=28421, packets_recv=28421, errin=0, errout=0, dropin=0, dropout=0
ts=1404976649, bytes_sent=2368503, bytes_recv=2368503, packets_sent=28435, packets_recv=28435, errin=0, errout=0, dropin=0, dropout=0
ts=1404976654, bytes_sent=2368551, bytes_recv=2368551, packets_sent=28436, packets_recv=28436, errin=0, errout=0, dropin=0, dropout=0
ts=1404976659, bytes_sent=2369651, bytes_recv=2369651, packets_sent=28451, packets_recv=28451, errin=0, errout=0, dropin=0, dropout=0
ts=1404976664, bytes_sent=2369651, bytes_recv=2369651, packets_sent=28451, packets_recv=28451, errin=0, errout=0, dropin=0, dropout=0
ts=1404976669, bytes_sent=2370587, bytes_recv=2370587, packets_sent=28464, packets_recv=28464, errin=0, errout=0, dropin=0, dropout=0
ts=1404976674, bytes_sent=2370635, bytes_recv=2370635, packets_sent=28465, packets_recv=28465, errin=0, errout=0, dropin=0, dropout=0
ts=1404976679, bytes_sent=2371571, bytes_recv=2371571, packets_sent=28478, packets_recv=28478, errin=0, errout=0, dropin=0, dropout=0
ts=1404976684, bytes_sent=2371571, bytes_recv=2371571, packets_sent=28478, packets_recv=28478, errin=0, errout=0, dropin=0, dropout=0
ts=1404976689, bytes_sent=2372507, bytes_recv=2372507, packets_sent=28491, packets_recv=28491, errin=0, errout=0, dropin=0, dropout=0
ts=1404976694, bytes_sent=2372883, bytes_recv=2372883, packets_sent=28496, packets_recv=28496, errin=0, errout=0, dropin=0, dropout=0
ts=1404976699, bytes_sent=2373935, bytes_recv=2373935, packets_sent=28510, packets_recv=28510, errin=0, errout=0, dropin=0, dropout=0
ts=1404976704, bytes_sent=2375960, bytes_recv=2375960, packets_sent=28531, packets_recv=28531, errin=0, errout=0, dropin=0, dropout=0
ts=1404976709, bytes_sent=2377060, bytes_recv=2377060, packets_sent=28546, packets_recv=28546, errin=0, errout=0, dropin=0, dropout=0
ts=1404976714, bytes_sent=2377108, bytes_recv=2377108, packets_sent=28547, packets_recv=28547, errin=0, errout=0, dropin=0, dropout=0
ts=1404976719, bytes_sent=2377996, bytes_recv=2377996, packets_sent=28559, packets_recv=28559, errin=0, errout=0, dropin=0, dropout=0
ts=1404976724, bytes_sent=2378044, bytes_recv=2378044, packets_sent=28560, packets_recv=28560, errin=0, errout=0, dropin=0, dropout=0
ts=1404976729, bytes_sent=2378980, bytes_recv=2378980, packets_sent=28573, packets_recv=28573, errin=0, errout=0, dropin=0, dropout=0
ts=1404976734, bytes_sent=2378980, bytes_recv=2378980, packets_sent=28573, packets_recv=28573, errin=0, errout=0, dropin=0, dropout=0
ts=1404976739, bytes_sent=2379916, bytes_recv=2379916, packets_sent=28586, packets_recv=28586, errin=0, errout=0, dropin=0, dropout=0
ts=1404976744, bytes_sent=2380292, bytes_recv=2380292, packets_sent=28591, packets_recv=28591, errin=0, errout=0, dropin=0, dropout=0
ts=1404976749, bytes_sent=2381344, bytes_recv=2381344, packets_sent=28605, packets_recv=28605, errin=0, errout=0, dropin=0, dropout=0
ts=1404976754, bytes_sent=2381392, bytes_recv=2381392, packets_sent=28606, packets_recv=28606, errin=0, errout=0, dropin=0, dropout=0
ts=1404976759, bytes_sent=2382492, bytes_recv=2382492, packets_sent=28621, packets_recv=28621, errin=0, errout=0, dropin=0, dropout=0
ts=1404976764, bytes_sent=2387109, bytes_recv=2387109, packets_sent=28662, packets_recv=28662, errin=0, errout=0, dropin=0, dropout=0
ts=1404976769, bytes_sent=2387997, bytes_recv=2387997, packets_sent=28674, packets_recv=28674, errin=0, errout=0, dropin=0, dropout=0
ts=1404976774, bytes_sent=2388045, bytes_recv=2388045, packets_sent=28675, packets_recv=28675, errin=0, errout=0, dropin=0, dropout=0
ts=1404976779, bytes_sent=2388981, bytes_recv=2388981, packets_sent=28688, packets_recv=28688, errin=0, errout=0, dropin=0, dropout=0
ts=1404976784, bytes_sent=2388981, bytes_recv=2388981, packets_sent=28688, packets_recv=28688, errin=0, errout=0, dropin=0, dropout=0
ts=1404976789, bytes_sent=2389917, bytes_recv=2389917, packets_sent=28701, packets_recv=28701, errin=0, errout=0, dropin=0, dropout=0
ts=1404976794, bytes_sent=2390293, bytes_recv=2390293, packets_sent=28706, packets_recv=28706, errin=0, errout=0, dropin=0, dropout=0
ts=1404976799, bytes_sent=2391393, bytes_recv=2391393, packets_sent=28721, packets_recv=28721, errin=0, errout=0, dropin=0, dropout=0
ts=1404976804, bytes_sent=2391557, bytes_recv=2391557, packets_sent=28723, packets_recv=28723, errin=0, errout=0, dropin=0, dropout=0
ts=1404976809, bytes_sent=2392493, bytes_recv=2392493, packets_sent=28736, packets_recv=28736, errin=0, errout=0, dropin=0, dropout=0
ts=1404976814, bytes_sent=2392541, bytes_recv=2392541, packets_sent=28737, packets_recv=28737, errin=0, errout=0, dropin=0, dropout=0
ts=1404976819, bytes_sent=2393429, bytes_recv=2393429, packets_sent=28749, packets_recv=28749, errin=0, errout=0, dropin=0, dropout=0
ts=1404976824, bytes_sent=2395454, bytes_recv=2395454, packets_sent=28770, packets_recv=28770, errin=0, errout=0, dropin=0, dropout=0
ts=1404976829, bytes_sent=2396390, bytes_recv=2396390, packets_sent=28783, packets_recv=28783, errin=0, errout=0, dropin=0, dropout=0
ts=1404976834, bytes_sent=2396390, bytes_recv=2396390, packets_sent=28783, packets_recv=28783, errin=0, errout=0, dropin=0, dropout=0
ts=1404976839, bytes_sent=2397326, bytes_recv=2397326, packets_sent=28796, packets_recv=28796, errin=0, errout=0, dropin=0, dropout=0
ts=1404976844, bytes_sent=2397702, bytes_recv=2397702, packets_sent=28801, packets_recv=28801, errin=0, errout=0, dropin=0, dropout=0
ts=1404976849, bytes_sent=2398802, bytes_recv=2398802, packets_sent=28816, packets_recv=28816, errin=0, errout=0, dropin=0, dropout=0
ts=1404976854, bytes_sent=2398966, bytes_recv=2398966, packets_sent=28818, packets_recv=28818, errin=0, errout=0, dropin=0, dropout=0
ts=1404976859, bytes_sent=2399902, bytes_recv=2399902, packets_sent=28831, packets_recv=28831, errin=0, errout=0, dropin=0, dropout=0
ts=1404976864, bytes_sent=2399950, bytes_recv=2399950, packets_sent=28832, packets_recv=28832, errin=0, errout=0, dropin=0, dropout=0
ts=1404976869, bytes_sent=2400838, bytes_recv=2400838, packets_sent=28844, packets_recv=28844, errin=0, errout=0, dropin=0, dropout=0
ts=1404976874, bytes_sent=2400886, bytes_recv=2400886, packets_sent=28845, packets_recv=28845, errin=0, errout=0, dropin=0, dropout=0
