sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
256:Home,5320,6305,31,130,0,328886,0.0,15.103381510849168,7.108773601695156
256:Fib,5291,8900,9300,11213,83,14161,0.0,14.785194127279535,8.53469255350586
256:Random,5153,1346,885,1327,47,145462,0.0,14.478338685795045,74133.40554514067
512:Home,6336,12226,35,30132,0,367458,0.12136994949494949,15.343150431162869,10.179356253919938
512:Fib,6248,13383,10205,30023,112,79563,0.10947503201024328,15.057707555604827,11.136112605648568
512:Random,6036,5833,910,30025,48,97664,0.10420808482438701,14.609599833475734,67013.32176162644
1024:Home,10287,16554,85,28217,0,382474,0.3726062020025275,19.834337872074595,20.892236332079108
1024:Fib,10022,18192,12414,28148,116,166837,0.3547196168429455,19.038319795141447,20.76998869528525
1024:Random,9599,12512,1090,28202,49,157852,0.3493072195020315,18.486029076160744,61603.78919986575
1280:Home,11727,20071,80,47453,0,382293,0.3717915920525284,20.600645757429902,21.62333839551413
1280:Fib,11316,21178,12305,47372,181,204440,0.3508306822198657,19.765904339031724,21.45477795835728
1280:Random,10884,15181,1128,47363,53,217509,0.34683939728041163,19.128228020288155,63985.42545318108
1536:Home,15871,18555,21369,28228,0,391872,0.5087896162812677,24.792007073165397,31.484564403998334
1536:Fib,15455,20301,15706,28225,107,265473,0.4935619540601747,23.978489952461928,31.15237950731224
1536:Random,14858,15876,5971,28223,48,251488,0.48950060573428456,23.18903008112571,60637.207060208486
2048:Home,21848,19839,27662,28223,0,398976,0.5828451116807031,29.80359203673339,40.91700106769036
2048:Fib,21221,21769,27623,28214,178,353769,0.5697186748975072,28.639060920590406,39.99198465446482
2048:Random,20472,17943,27611,28222,0,361184,0.5666764361078547,27.90933555822761,61955.61708773464
TOTAL,207944,16849,10725,28246,0,398976,0.40553706767206554,63.83712238078354,63524.65683043053
