sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
56:Home,4778,27,8,28,0,2684,0.0,15.333958073916225,7.210546167954659
56:Fib,4778,3157,3083,5019,83,6620,0.0,15.239711281150026,8.803306495855168
56:Random,4725,450,330,725,51,5103,0.0,15.156423917959641,77605.40394739136
64:Home,3936,17,9,43,0,1394,0.0,12.54262133137886,5.90344339030783
64:Fib,3936,4700,4797,6567,183,7317,0.0,12.408770630054068,7.166126736904744
64:Random,3872,370,358,502,49,989,0.0,12.349695403948585,63234.1184456033
96:Home,3867,42,16,67,0,2923,0.0,12.08618792818923,5.6884204017321345
96:Fib,3867,7260,7740,9843,178,10417,0.0,11.919035627652656,6.879423019427381
96:Random,3777,594,547,813,49,1811,0.0,11.7910023756825,60373.44354663974
128:Home,3712,51,24,95,0,2265,0.0,11.390486243655758,5.361909053319258
128:Fib,3712,10285,10645,13101,186,14230,0.0,11.202621992992325,6.476462789836155
128:Random,3585,807,771,1092,48,2690,0.0,10.980529086916171,56223.579480791916
256:Home,3749,9459,50,139,0,336819,0.0,10.628315146979194,5.003489896509297
256:Fib,3643,13376,12977,15630,178,16405,0.0,10.174442961117597,5.882099836896111
256:Random,3501,913,894,1172,47,2548,0.0,9.928028176203359,50834.46134086602
512:Home,5757,14016,42,28039,0,388630,0.15581031787389266,13.990585456304025,10.026715822004613
512:Fib,5558,15180,12614,27974,178,61393,0.14843468873695573,13.369479196484198,10.651854006453815
512:Random,5336,5764,973,27946,47,72025,0.13774362818590705,12.959225555126496,57218.75563757656
1024:Home,9316,19342,117,28215,0,479283,0.415092314297982,17.933801249744928,19.972957731473283
1024:Fib,9020,20081,15471,28203,178,100590,0.4,17.241346354181598,19.85885402330736
1024:Random,8644,12928,1215,28203,49,79743,0.39437760296159186,16.334706527079636,50666.393311718726
1280:Home,11607,20660,21933,28208,0,495688,0.49478762815542343,19.90830550424254,24.767321304219557
1280:Fib,11236,21534,15893,28071,231,103334,0.47801708793164827,19.234225829257728,24.44995762930378
1280:Random,10744,15207,1949,28071,50,94288,0.47514892032762474,18.42925902165747,49544.47983333594
1536:Home,14508,20461,24810,29544,0,441356,0.517921146953405,22.899245215118427,29.320128469887525
1536:Fib,14060,22214,21507,29483,182,228204,0.5015647226173542,21.984998287797076,28.69871411068258
1536:Random,13460,17064,18730,29467,47,227996,0.49695393759286777,21.224960932510616,54691.530479491346
2048:Home,20166,21887,27741,28251,0,500871,0.631409302786869,27.564129726094617,40.13291810073223
2048:Fib,19532,23315,27679,28223,178,277405,0.6199057956174483,26.590284716984726,39.23702660900356
2048:Random,18807,18952,27666,28192,50,274056,0.6172169936725688,25.696835546810952,50397.031949450815
