sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
2:Home,3205,1,1,3,0,217,0.0,10.621621711191311,4.995093092466106
2:Fib,3205,103,109,114,82,162,0.0,10.620037907405198,6.135172652242634
2:Random,3203,79,84,89,46,303,0.0,10.620589951721577,54380.57960543849
4:Home,3547,1,1,3,0,78,0.0,11.753400599764733,5.527275471362062
4:Fib,3547,257,247,378,107,504,0.0,11.740717815637298,6.7825210560025955
4:Random,3544,75,66,118,46,215,0.0,11.73832543381128,60103.717880762764
8:Home,3218,2,1,5,0,12,0.0,10.657923062910891,5.012218715327802
8:Fib,3218,647,675,817,112,1077,0.0,10.646991678935963,6.150791240343099
8:Random,3213,96,78,171,46,315,0.0,10.644253991181138,54501.747031434796
12:Home,3111,2,1,4,0,86,0.0,10.235135037324849,4.814240143624179
12:Fib,3111,1066,1070,1370,178,1812,0.0,10.217889682263374,5.902329303600402
12:Random,3099,93,84,146,47,381,0.0,10.201864580864344,52236.581823314795
16:Home,3113,2,2,4,0,104,0.0,10.240906384364607,4.816047837295256
16:Fib,3113,1444,1444,1897,178,2586,0.0,10.215231951066643,5.901313148911699
16:Random,3099,97,90,153,47,296,0.0,10.196426808804658,52208.73975401408
24:Home,3136,4,2,6,0,1975,0.0,10.24863395121441,4.820716181918154
24:Fib,3135,2202,2196,2978,178,4102,0.0,10.2114602876798,5.899610235116024
24:Random,3113,112,99,190,47,411,0.0,10.178025534975724,52114.51885710243
32:Home,3156,4,2,6,0,279,0.0,10.247884506731264,4.819455769873947
32:Fib,3156,2962,2966,4147,177,5643,0.0,10.203850692704377,5.894848188016295
32:Random,3124,126,106,232,47,559,0.0,10.150865780469656,51975.455057302715
48:Home,3184,18,6,35,0,2003,0.0,10.274812510487795,4.8346341897290595
48:Fib,3184,4363,4432,5152,178,6764,0.0,10.206436722656752,5.894454367146429
48:Random,3139,264,268,363,50,645,0.0,10.12779934116068,51857.34868456474
56:Home,3196,17,9,40,0,1753,0.0,10.249338571314038,4.824044937064058
56:Fib,3196,5099,5128,5871,178,7944,0.0,10.16587941536651,5.8703649585699065
56:Random,3143,321,315,421,50,1633,0.0,10.076172400969467,51593.00354601101
64:Home,3232,20,13,47,0,1180,0.0,10.298438027747153,4.847108662541343
64:Fib,3232,5796,5823,6675,177,7328,0.0,10.211399991785385,5.895764417441526
64:Random,3170,360,359,466,51,680,0.0,10.094384083353502,51686.25273679809
96:Home,3298,49,26,76,0,2491,0.0,10.31182483029888,4.853380694875667
96:Fib,3298,8641,8580,9961,178,10448,0.0,10.193894172665651,5.885370222191656
96:Random,3204,557,550,716,51,1149,0.0,10.003184534402338,51219.28368879333
128:Home,3372,57,31,103,0,2148,0.0,10.346890869758665,4.870697425551175
128:Fib,3372,11471,11419,13209,178,14177,0.0,10.146449494934298,5.865913175752934
128:Random,3245,794,774,1032,50,1693,0.0,9.942885857508793,50910.53709453344
